Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2024-08-21,NIFTYNXT50,542,5420,40.16,3637,36370,275.65,315.81,117623.75,43307.35,38813379,45524567.1
2024-08-22,BANKNIFTY,144799,2171985,11096.63,59545662,893184930,4571904.24,4583000.87,118638.86,46631.42,39555551,45650260.4
2024-08-22,FINNIFTY,1592,39800,92.74,6723889,168097225,392732.08,392824.82,118638.86,46631.42,39555551,45650260.4
2024-08-22,MIDCPNIFTY,29905,1495250,1953.21,11246917,562345850,737671.29,739624.50,118638.86,46631.42,39555551,45650260.4
2024-08-22,NIFTY,173532,4338300,10791.37,530806080,13270152000,32922678.94,32933470.31,118638.86,46631.42,39555551,45650260.4
2024-08-22,NIFTYNXT50,741,7410,55.22,7572,75720,580.18,635.40,118638.86,46631.42,39555551,45650260.4
2024-08-23,BANKNIFTY,112565,1688475,8623.22,54964144,824462160,4215383.03,4224006.25,117927.16,48468.22,37623249,45587755.23
2024-08-23,FINNIFTY,1539,38475,89.70,9614997,240374925,560001.26,560090.96,117927.16,48468.22,37623249,45587755.23
2024-08-23,MIDCPNIFTY,41936,2096800,2726.29,25841983,1292099150,1686387.23,1689113.52,117927.16,48468.22,37623249,45587755.23
2024-08-23,NIFTY,187877,4696925,11686.47,47303658,1182591450,2936336.81,2948023.28,117927.16,48468.22,37623249,45587755.23
2024-08-23,NIFTYNXT50,717,7170,53.50,18410,184100,1457.05,1510.55,117927.16,48468.22,37623249,45587755.23
2024-08-26,BANKNIFTY,170829,2562435,13153.84,73879285,1108189275,5685959.03,5699112.87,111305.26,42672.49,39602261,45815229.67
2024-08-26,FINNIFTY,3987,99675,233.59,25653633,641340825,1501014.19,1501247.78,111305.26,42672.49,39602261,45815229.67
2024-08-26,MIDCPNIFTY,60712,3035600,3971.54,184705769,9235288450,12060276.22,12064247.76,111305.26,42672.49,39602261,45815229.67
2024-08-26,NIFTY,344878,8621950,21617.20,78824392,1970609800,4915371.86,4936989.06,111305.26,42672.49,39602261,45815229.67
